MORTDUE,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC,DEBTINC_missing,JOB_GROUP_Office and Professional,JOB_GROUP_Self-Employed and Sales,REASON_HomeImp,LOAN_VALUE_ratio,BAD,Prob,Score,Score_Normalized,Surname,Name
41314.0,19.0,0.0,0.0,183.6314283,1.0,22.0,33.665534117,0,1.0,0.0,0.0,0.35175245595594334,0,0.011626723031471015,769,738,Stephen,Chavez
33284.0,14.0,0.0,0.0,119.47307291,1.0,17.0,37.784523666,0,0.0,0.0,0.0,0.31702898550211844,0,0.053584407156859484,712,609,Edward,Wallace
54641.0,5.0,0.0,0.0,323.19292763,0.0,10.0,33.299628394,0,0.0,0.0,0.0,0.16741496080713167,0,0.02802725781842558,737,664,Thomas,Lee
45240.0,2.0,0.0,1.0,83.066750905,0.0,19.0,38.454300022,0,0.0,0.0,0.0,0.15963815351603636,0,0.25602701652736015,647,462,James,Avila
58000.0,3.5,0.0,1.0,168.66666667,0.0,18.0,34.802428777,1,0.0,0.0,1.0,0.05760368663511516,1,0.7064279928141309,577,303,Dennis,Serrano
65022.0,0.0,0.0,0.0,55.873860215,0.0,4.0,38.375091295,0,1.0,0.0,1.0,0.11046015743913562,0,0.08136341328473064,696,573,Elizabeth,Small
109378.0,9.717014210767566,0.0,0.0,240.23287537,3.0,13.0,35.691542689,0,0.0,0.0,0.0,0.22482344028600948,0,0.020279639089751843,749,691,Nathan,Johnson
65022.0,8.939603525686081,0.2696576657341044,0.4606976520578138,178.5503516614801,1.1969285750712755,21.27564585811222,25.132448542,0,0.0,0.0,0.0,0.1434173669451718,0,0.025087754244669545,741,674,Ronald,Franco
81933.0,13.0,0.0,0.0,308.53202717,0.0,19.0,29.60368375,0,1.0,0.0,0.0,0.12346808121361907,0,0.0,850,750,Glenn,Payne
71973.0,4.0,0.0,0.0,89.379952321,2.0,32.0,39.98105906,0,0.0,0.0,0.0,0.23736831510235049,0,0.029065464241166346,735,661,Julie,Graham
